algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann,0.279,0.278,0.26,0.299,0.194,0.265,0.342,0.311,0.228,0.226,0.15,0.151,0.152,0.146,0.15,0.153,0.147,0.153,0.155,0.143,vis_low_1_random
ann,0.614,0.637,0.578,0.611,0.616,0.638,0.609,0.648,0.682,0.571,0.108,0.105,0.108,0.103,0.104,0.111,0.109,0.109,0.104,0.116,props_ex_som_low_1_random
ann,0.619,0.596,0.55,0.61,0.661,0.625,0.553,0.632,0.598,0.612,0.112,0.111,0.115,0.111,0.108,0.105,0.108,0.108,0.113,0.107,vis_props_ex_som_low_1_random
ann,0.592,0.511,0.592,0.573,0.544,0.498,0.561,0.598,0.56,0.567,0.116,0.122,0.114,0.113,0.118,0.123,0.111,0.11,0.118,0.118,bands_low_1_random
ann,0.649,0.681,0.682,0.633,0.689,0.652,0.673,0.649,0.661,0.679,0.104,0.098,0.1,0.108,0.1,0.097,0.1,0.105,0.104,0.101,all_ex_som_low_1_random
