,mlr,ann
vis,0.11230976563902129,0.11145849112645172
props,0.3777126920293055,0.596729757149926
vis-props,0.38277461971057786,0.5992009187119708
bands,0.14960269693162695,0.2606412969037879
upper-vis,0.09121851896803679,0.15688900598628278
upper-vis-props,0.39600967770029766,0.6336077296832675
all,0.4026438292654062,0.6143858143789432
