,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.1098460358740424,0.11725832621027699,0.10982493483274447
I-mlr-props,0.37212199398878,0.38015426913767236,0.38086181296146415
I-mlr-vis-props,0.3765721435870185,0.3865015015862241,0.3852502139584909
I-mlr-bands,0.14383892944879795,0.15716099881676693,0.14780816252931595
I-mlr-upper-vis,0.08737902408995646,0.09330053769792013,0.09297599511623378
I-mlr-upper-vis-props,0.3917014080783827,0.3987863917279123,0.3975412332945979
I-mlr-all,0.3961412556302387,0.40829803918457375,0.40349219298140615
I-ann-vis,0.10877744239777742,0.11675366944544052,0.10884436153613719
I-ann-props,0.5972926495152651,0.6059504371630291,0.5869461847714837
I-ann-vis-props,0.602068461246156,0.5996003289590526,0.5959339659307039
I-ann-bands,0.2631943518010167,0.2600571720361037,0.25867236687424333
I-ann-upper-vis,0.1601373789509346,0.16209837917991687,0.14843125982799688
I-ann-upper-vis-props,0.6382494188270075,0.6372157857367464,0.6253579844860486
I-ann-all,0.5744319170691463,0.6372036120926446,0.6315219139750387
