,mlr,ann
vis,0.019412067130654093,0.08985045342238869
props,0.3758346322098434,0.4928916437111705
vis-props,0.3762213063532496,0.4830641850831814
bands,0.06967096608403078,0.20865031338965243
all,0.38804285994177407,0.4793356960615715
