,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.010791256632190716,0.025097825569718624,0.022347119190052944
I-mlr-props,0.37094041652165455,0.3905258786278376,0.36603760148003817
I-mlr-vis-props,0.3704826629417608,0.3907861854220793,0.3673950706959087
I-mlr-bands,0.0710135261776148,0.054612616949536785,0.08338675512494076
I-mlr-all,0.3819945214458845,0.40672400703874234,0.37541005134069527
I-ann-vis,0.08948437878686488,0.09080618697491194,0.08926079450538926
I-ann-props,0.4884756294074345,0.5088896895004886,0.48130961222558843
I-ann-vis-props,0.48459699124787625,0.49280179852357786,0.47179376547808993
I-ann-bands,0.2099359276962236,0.21269208795151673,0.20332292452121692
I-ann-all,0.4770165235629472,0.49305059866838963,0.4679399659533777
