row,column,scene,elevation,som,moisture,temp,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12
20.0,15.0,2.0,438.98,2.51,40.873333333333335,64.81666666666666,1720.0,2054.0,2366.0,2902.0,3104.0,3264.0,3392.0,3614.0,3648.0,3392.0,4928.0,3904.0
20.0,15.0,3.0,438.98,2.51,40.873333333333335,64.81666666666666,1744.0,2060.0,2257.0,2679.0,2880.0,2976.0,3104.0,3219.0,3360.0,3264.0,4800.0,3776.0
20.0,15.0,4.0,438.98,2.51,40.873333333333335,64.81666666666666,1328.0,1437.0,1421.0,1566.0,1600.0,1728.0,1728.0,1712.0,1856.0,1664.0,1920.0,1728.0
20.0,16.0,2.0,437.72999999999996,2.452,40.62,62.928,1741.3333333333333,2158.733333333333,2479.133333333333,3093.866666666667,3360.0,3477.3333333333335,3605.3333333333335,3885.3333333333335,3946.6666666666665,3520.0,5141.333333333333,4074.6666666666665
20.0,16.0,3.0,437.72999999999996,2.452,40.62,62.928,1776.0,2154.0666666666666,2409.6,2902.133333333333,3136.0,3210.6666666666665,3338.6666666666665,3502.3333333333335,3573.3333333333335,3392.0,4928.0,4032.0
20.0,16.0,4.0,437.72999999999996,2.452,40.62,62.928,1360.0,1497.6666666666667,1535.7333333333333,1639.7333333333333,1770.6666666666667,1856.0,1898.6666666666667,1860.2,1898.6666666666667,1920.0,2176.0,1770.6666666666667
20.0,32.0,1.0,438.98,2.51,40.873333333333335,64.81666666666666,1864.0,2171.0,2554.0,3124.0,3424.0,3488.0,3680.0,3826.0,3968.0,3712.0,5312.0,4224.0
20.0,32.0,5.0,438.98,2.51,40.873333333333335,64.81666666666666,1464.0,1688.0,1910.0,2005.0,2336.0,2976.0,3104.0,3209.0,3264.0,3200.0,4032.0,3104.0
20.0,33.0,1.0,437.72999999999996,2.452,40.62,62.928,1869.3333333333333,2149.866666666667,2557.2,3123.4666666666667,3509.3333333333335,3637.3333333333335,3765.3333333333335,3823.5333333333333,3968.0,3712.0,5397.333333333333,4224.0
20.0,33.0,5.0,437.72999999999996,2.452,40.62,62.928,1496.0,1743.0666666666666,1957.6,2107.133333333333,2464.0,3146.6666666666665,3338.6666666666665,3442.2,3477.3333333333335,3456.0,4117.333333333333,3232.0
21.0,13.0,2.0,442.91,2.450714285714286,42.635714285714286,63.471428571428575,1688.0,1953.857142857143,2166.285714285714,2670.285714285714,2912.0,3008.0,3136.0,3300.0,3392.0,3264.0,4800.0,3776.0
21.0,13.0,3.0,442.91,2.450714285714286,42.635714285714286,63.471428571428575,1744.0,1939.142857142857,2157.8571428571427,2507.4285714285716,2752.0,2848.0,2976.0,3043.1428571428573,3168.0,3136.0,4544.0,3648.0
21.0,13.0,4.0,442.91,2.450714285714286,42.635714285714286,63.471428571428575,1488.0,1621.0,1699.7142857142858,1867.142857142857,1984.0,2112.0,2240.0,2222.1428571428573,2368.0,2176.0,2944.0,2368.0
21.0,14.0,2.0,442.3981818181818,2.4131818181818185,41.00121212121212,63.23393939393939,1725.3333333333333,1964.909090909091,2201.181818181818,2699.3939393939395,2906.181818181818,3023.5151515151515,3186.4242424242425,3357.757575757576,3442.4242424242425,3392.0,4834.909090909091,3776.0
21.0,14.0,3.0,442.3981818181818,2.4131818181818185,41.00121212121212,63.23393939393939,1763.3939393939395,1965.6363636363637,2144.212121212121,2538.090909090909,2752.0,2826.6666666666665,2962.4242424242425,3063.6363636363635,3175.757575757576,3136.0,4609.939393939394,3663.5151515151515
21.0,14.0,4.0,442.3981818181818,2.4131818181818185,41.00121212121212,63.23393939393939,1439.5151515151515,1519.4242424242425,1607.3939393939395,1744.7878787878788,1871.5151515151515,1956.8484848484848,2034.4242424242425,2042.0,2162.4242424242425,1920.0,2688.0,2127.5151515151515
21.0,15.0,2.0,440.5450769230769,2.432153846153846,39.305692307692304,62.18492307692308,1726.4,1979.8615384615384,2237.5538461538463,2744.4,2959.2615384615383,3100.5538461538463,3250.2153846153847,3432.2923076923075,3533.7846153846153,3520.0,4914.215384615384,3815.3846153846152
21.0,15.0,3.0,440.5450769230769,2.432153846153846,39.305692307692304,62.18492307692308,1773.5384615384614,1973.8153846153846,2179.6923076923076,2578.6153846153848,2797.2923076923075,2872.6153846153848,3000.6153846153848,3105.492307692308,3247.753846153846,3264.0,4689.723076923077,3722.8307692307694
21.0,15.0,4.0,440.5450769230769,2.432153846153846,39.305692307692304,62.18492307692308,1384.123076923077,1408.1538461538462,1446.4615384615386,1531.876923076923,1603.9384615384615,1672.8615384615384,1747.6923076923076,1733.323076923077,1789.0461538461539,1920.0,2136.6153846153848,1779.2
21.0,16.0,2.0,436.1737037037037,2.326111111111111,36.46074074074074,63.20049382716049,1775.111111111111,2099.4814814814813,2403.5925925925926,2994.395061728395,3224.098765432099,3335.1111111111113,3524.740740740741,3767.716049382716,3804.4444444444443,3776.0,5160.2962962962965,3976.6913580246915
21.0,16.0,3.0,436.1737037037037,2.326111111111111,36.46074074074074,63.20049382716049,1822.2222222222222,2111.2098765432097,2342.8024691358023,2816.962962962963,3022.222222222222,3114.2716049382716,3242.2716049382716,3396.3456790123455,3489.58024691358,3520.0,4926.419753086419,3941.925925925926
21.0,16.0,4.0,436.1737037037037,2.326111111111111,36.46074074074074,63.20049382716049,1449.679012345679,1476.4938271604938,1547.2345679012346,1660.6296296296296,1770.6666666666667,1876.5432098765432,1974.5185185185185,1892.4938271604938,2018.7654320987654,1920.0,2441.4814814814813,1966.6172839506173
21.0,17.0,2.0,429.9390909090909,2.552840909090909,37.234545454545454,63.42113636363637,1819.6363636363637,2184.4545454545455,2481.9772727272725,3110.318181818182,3326.5454545454545,3458.909090909091,3624.7272727272725,3902.568181818182,3982.5454545454545,3904.0,5268.363636363636,4218.181818181818
21.0,17.0,3.0,429.9390909090909,2.552840909090909,37.234545454545454,63.42113636363637,1873.4545454545455,2184.568181818182,2448.0,2924.818181818182,3153.4545454545455,3218.909090909091,3386.181818181818,3542.840909090909,3611.6363636363635,3648.0,5108.363636363636,4151.272727272727
21.0,17.0,4.0,429.9390909090909,2.552840909090909,37.234545454545454,63.42113636363637,1517.090909090909,1658.4545454545455,1771.0227272727273,1923.2954545454545,2097.4545454545455,2231.2727272727275,2341.818181818182,2342.2272727272725,2385.4545454545455,2432.0,2944.0,2341.818181818182
21.0,18.0,2.0,428.60999999999996,2.875,35.65,63.983333333333334,1811.7333333333333,2276.0,2589.5333333333333,3241.2,3406.9333333333334,3562.6666666666665,3758.9333333333334,4078.133333333333,4074.6666666666665,3904.0,5354.666666666667,4390.4
21.0,18.0,3.0,428.60999999999996,2.875,35.65,63.983333333333334,1859.2,2277.6,2573.733333333333,3110.9333333333334,3298.133333333333,3389.866666666667,3556.266666666667,3782.5333333333333,3863.4666666666667,3648.0,5175.466666666666,4279.466666666666
21.0,18.0,4.0,428.60999999999996,2.875,35.65,63.983333333333334,1479.4666666666667,1676.9333333333334,1817.2666666666667,1983.2,2163.2,2350.9333333333334,2427.733333333333,2492.0666666666666,2555.733333333333,2432.0,2944.0,2419.2
