row,column,scene,elevation,som,moisture,temp,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12
20.0,96.0,1.0,437.99,2.445,42.3,62.35,1864.0,2228.0,2650.0,3271.0,3488.0,3616.0,3744.0,3935.0,3968.0,3712.0,5440.0,4224.0
21.0,94.0,1.0,438.98,2.51,40.873333333333335,64.81666666666666,1864.0,2171.0,2554.0,3124.0,3424.0,3488.0,3680.0,3826.0,3968.0,3712.0,5312.0,4224.0
21.0,95.0,1.0,438.38599999999997,2.493,41.044,64.192,1864.0,2129.0,2534.0,3065.0,3488.0,3616.0,3744.0,3772.0,3968.0,3712.0,5440.0,4224.0
21.0,96.0,1.0,437.58000000000004,2.4275,40.045,61.945,1864.0,2140.0,2547.0,3109.0,3488.0,3616.0,3744.0,3782.0,3968.0,3712.0,5440.0,4224.0
21.0,97.0,1.0,437.142,2.432,40.32,62.565999999999995,1880.0,2163.0,2570.0,3164.0,3552.0,3680.0,3808.0,3886.0,3968.0,3712.0,5312.0,4224.0
22.0,92.0,1.0,440.3725,2.3325,40.66,64.6475,1880.0,2167.0,2591.0,3170.0,3424.0,3552.0,3680.0,3856.0,3968.0,4224.0,5440.0,4224.0
22.0,93.0,1.0,439.795,2.436666666666667,40.24333333333333,64.79,1896.0,2165.0,2548.0,3147.0,3488.0,3552.0,3744.0,3839.0,3968.0,4224.0,5440.0,4224.0
22.0,94.0,1.0,439.3,2.5233333333333334,40.166666666666664,64.86,1896.0,2173.0,2568.0,3165.0,3488.0,3552.0,3744.0,3893.0,3968.0,4224.0,5440.0,4224.0
22.0,97.0,1.0,436.94399999999996,2.269,37.614,62.446000000000005,1912.0,2009.0,2416.0,2982.0,3360.0,3424.0,3616.0,3696.0,3968.0,3968.0,5312.0,4224.0
22.0,107.0,1.0,428.81,2.875,35.0,67.13,2000.0,2553.0,3112.0,3817.0,4160.0,4256.0,4416.0,4708.0,4736.0,4224.0,5920.0,4800.0
23.0,90.0,1.0,441.27,2.415,40.85,64.27999999999999,1864.0,2174.0,2560.0,3166.0,3488.0,3552.0,3680.0,3847.0,3968.0,4224.0,5440.0,4224.0
23.0,91.0,1.0,441.006,2.366,40.3,64.202,1880.0,2211.0,2598.0,3173.0,3424.0,3552.0,3680.0,3837.0,3968.0,4224.0,5440.0,4224.0
