,mlr,ann
vis,0.09592035474925091,0.0
props,0.3960904887801993,0.0
vis-props,0.41024437508685563,0.0
bands,0.22018633836105392,0.0
upper-vis,0.14750838690054305,0.0
upper-vis-props,0.4185382076604289,0.0
all,0.4361738410561389,0.0
