,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.10789311891089626,0.08903324461125606,0.0908347007256004
I-mlr-props,0.4098664980488397,0.385660959004287,0.3927440092874712
I-mlr-vis-props,0.4266510502247993,0.3983990130359406,0.40568306199982695
I-mlr-bands,0.23246899626903617,0.21864608136522024,0.20944393744890533
I-mlr-upper-vis,0.14838388355554966,0.14847292058780281,0.1456683565582767
I-mlr-upper-vis-props,0.43228491917447565,0.40897931590666603,0.414350387900145
I-mlr-all,0.45405759325672623,0.4258969723683753,0.4285669575433151
I-ann-vis,0.0,0.0,0.0
I-ann-props,0.0,0.0,0.0
I-ann-vis-props,0.0,0.0,0.0
I-ann-bands,0.0,0.0,0.0
I-ann-upper-vis,0.0,0.0,0.0
I-ann-upper-vis-props,0.0,0.0,0.0
I-ann-all,0.0,0.0,0.0
