,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.10841238802646735,0.08900272398189824,0.09077302679776267
I-mlr-props,0.4098664980488397,0.385660959004287,0.3927440092874712
I-mlr-vis-props,0.4268236819138953,0.398479046754016,0.40565757815932924
I-mlr-bands,0.23041829915890522,0.21788155148966892,0.20836193766777644
I-mlr-upper-vis,0.1461403683041943,0.14552711538864482,0.14227924460948316
I-mlr-upper-vis-props,0.4318769130328487,0.40816543683906215,0.4129391514249313
I-mlr-all,0.4531855320834667,0.4264522783723924,0.42836013659988725
I-ann-vis,0.16617736903502067,0.12739316490221353,0.13744209874400048
I-ann-props,0.6340549796707737,0.6333506745189068,0.627223819151268
I-ann-vis-props,0.6358543051445001,0.6209005828113682,0.6272870462491433
I-ann-bands,0.33811607227559426,0.32700658710282826,0.3416855525648601
I-ann-upper-vis,0.2726220501368154,0.2541578528896161,0.25079775748076305
I-ann-upper-vis-props,0.5932619368804846,0.5876179122482945,0.5944134925164739
I-ann-all,0.6819863928750206,0.6382359056601461,0.6597502688800853
