,mlr,ann
vis,0.09606271293537609,0.14367087756041155
props,0.3960904887801993,0.6315431577803162
vis-props,0.41032010227574683,0.6280139780683373
bands,0.21888726277211687,0.3356027373144275
upper-vis,0.14464890943410744,0.25919255350239817
upper-vis-props,0.4176605004322807,0.5917644472150844
all,0.4359993156852488,0.6599908558050839
