lon,lat,elevation,when,som,moisture,temp
142.1348106,-36.74234796,416.01,01-Apr-22,2.425,32.7,64.38
142.1348825,-36.74247615,416.01,01-Apr-22,2.4,35.1,61.03
142.1350329,-36.74261374,416.34,01-Apr-22,2.175,34.23,64.35
142.1350224,-36.74278674,416.01,01-Apr-22,1.96,31.48,67.13
142.135042,-36.74296255,416.01,01-Apr-22,1.93,32.2,68.35
142.1349458,-36.7431137,416.01,01-Apr-22,2.035,35.0,70.7
142.134856,-36.74327095,416.01,01-Apr-22,1.865,28.48,73.3
142.1348103,-36.74344062,416.01,01-Apr-22,2.19,26.7,71.93
142.1347501,-36.74360754,416.01,01-Apr-22,1.995,32.9,72.73
142.1346788,-36.74378225,416.01,01-Apr-22,2.025,34.85,72.6
142.1344994,-36.74387858,416.01,01-Apr-22,1.795,30.25,74.03
142.1342974,-36.74395325,415.68,01-Apr-22,1.825,27.3,76.6
142.1342403,-36.74412257,416.01,01-Apr-22,1.905,33.9,73.48
142.1340646,-36.74425264,416.34,01-Apr-22,2.205,32.08,74.25
142.1338376,-36.74417867,416.34,01-Apr-22,2.27,32.85,73.88
142.1338401,-36.74399008,416.01,01-Apr-22,2.17,31.08,73.78
142.1340366,-36.74388772,416.34,01-Apr-22,2.025,32.2,75.95
142.1342509,-36.74397061,415.68,01-Apr-22,1.965,32.23,76.25
142.1342973,-36.74406658,416.01,01-Apr-22,1.9,28.13,77.43
142.1342037,-36.74421527,416.34,01-Apr-22,1.905,29.53,71.23
142.1339971,-36.74418313,416.67,01-Apr-22,2.205,32.73,69.75
142.1337802,-36.74422642,416.99,01-Apr-22,2.075,30.15,71.83
142.1335947,-36.74433087,418.31,01-Apr-22,2.325,29.9,70.9
142.1334231,-36.74444863,420.6,01-Apr-22,2.39,26.27,71.73
142.1332655,-36.74457813,421.92,01-Apr-22,2.68,27.68,70.8
142.1331083,-36.74470938,422.24,01-Apr-22,2.52,25.27,70.4
142.1329512,-36.74484208,421.59,01-Apr-22,2.375,26.37,70.75
142.1327957,-36.74497683,420.6,01-Apr-22,2.355,26.32,71.38
142.1326382,-36.74511023,420.6,01-Apr-22,2.555,26.45,70.85
142.132481,-36.74524333,420.28,01-Apr-22,2.635,25.13,71.5
142.1323237,-36.74537653,419.95,01-Apr-22,2.57,23.85,70.93
142.1321667,-36.74550943,420.6,01-Apr-22,2.285,26.55,71.48
142.1320082,-36.74564098,421.26,01-Apr-22,2.575,21.0,71.33
142.1318512,-36.74577358,421.92,01-Apr-22,2.615,26.57,72.35
142.1316948,-36.74590658,422.57,01-Apr-22,2.455,25.8,71.3
142.1315349,-36.74603661,423.23,01-Apr-22,2.71,27.4,72.43
142.1313597,-36.74614641,423.23,01-Apr-22,2.865,28.75,71.75
142.1311595,-36.74623402,423.56,01-Apr-22,2.665,27.88,71.03
142.1309614,-36.74632482,423.88,01-Apr-22,2.625,29.02,73.2
142.1307635,-36.74641532,424.21,01-Apr-22,2.68,29.93,74.43
142.1305653,-36.74650612,424.21,01-Apr-22,2.71,29.48,73.55
142.1303675,-36.74659712,423.88,01-Apr-22,2.785,31.55,72.55
142.1301795,-36.74670778,423.88,01-Apr-22,2.665,28.38,73.0
142.1299495,-36.74673595,423.56,01-Apr-22,2.82,27.8,72.18
142.1297635,-36.74684056,423.88,01-Apr-22,2.875,24.6,70.83
142.1295535,-36.74691182,424.21,01-Apr-22,2.52,26.0,70.83
142.1293399,-36.7469762,424.54,01-Apr-22,2.76,25.8,67.95
142.1291267,-36.74704078,424.87,01-Apr-22,2.895,25.1,68.45
142.1289115,-36.7471018,424.87,01-Apr-22,2.75,24.2,69.5
142.1286972,-36.7471645,424.54,01-Apr-22,2.41,26.4,69.45
142.1284817,-36.74722542,424.21,01-Apr-22,2.705,26.82,69.05
142.1282639,-36.7472842,423.88,01-Apr-22,2.76,25.5,68.73
142.128068,-36.74737793,423.88,01-Apr-22,2.575,24.6,70.38
142.1278812,-36.74748357,423.88,01-Apr-22,2.555,25.95,71.5
142.1277273,-36.74764488,423.56,01-Apr-22,2.7,27.17,70.63
142.1274822,-36.74765901,423.23,01-Apr-22,2.925,29.75,71.1
