lon,lat,elevation,som,moisture,temp,B01.tif_0,B02.tif_0,B03.tif_0,B04.tif_0,B05.tif_0,B06.tif_0,B07.tif_0,B08.tif_0,B09.tif_0,B11.tif_0,B12.tif_0,B8A.tif_0,SCL.tif_0,TCI.tif_0,TCI.tif_1,TCI.tif_2,WVP.tif_0
142.135355,-36.74293455,416.01,2.2,35.75,83.05,1808.0,2303.0,2558.0,3058.0,3136.0,3264.0,3392.0,3744.0,3840.0,5184.0,4288.0,3776.0,4.0,213.0,159.0,132.0,1639.0
142.1308715,-36.73444333,437.99,2.445,42.3,62.35,1616.0,1757.0,1902.0,2177.0,2240.0,2240.0,2368.0,2484.0,2304.0,3904.0,3008.0,2496.0,4.0,119.0,91.0,76.0,1515.0
142.1225994,-36.73763674,436.35,2.505,35.65,70.68,1776.0,2022.0,2176.0,2531.0,2752.0,2752.0,2880.0,3072.0,3328.0,4544.0,3520.0,3136.0,4.0,157.0,120.0,104.0,1500.0
142.1276042,-36.74768054,423.23,2.91,31.13,70.85,1776.0,1959.0,2124.0,2535.0,2752.0,2880.0,3008.0,3035.0,3328.0,5056.0,4032.0,3264.0,4.0,154.0,113.0,96.0,1472.0
