lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1343664,-36.74388379,416.01,1.695,33.38,75.08,1904.0,2313.0,2550.0,3075.0,3392.0,3392.0,3648.0,3676.0,3840.0,5056.0,4032.0,3776.0
142.1343104,-36.74391995,416.01,1.78,28.35,75.83,1904.0,2324.0,2563.0,3108.0,3392.0,3520.0,3648.0,3720.0,3840.0,5184.0,4160.0,3904.0
142.1342907,-36.74396965,415.68,1.805,25.43,76.15,1904.0,2291.0,2554.0,3035.0,3392.0,3520.0,3648.0,3650.0,3840.0,5184.0,4160.0,3904.0
142.134291,-36.74402632,416.01,1.78,26.55,75.95,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
142.1342832,-36.74408544,416.01,1.64,24.48,75.25,1840.0,2353.0,2644.0,3178.0,3392.0,3520.0,3776.0,3853.0,3328.0,5056.0,4160.0,3904.0
142.1342403,-36.74412257,416.01,1.905,33.9,73.48,1840.0,2353.0,2644.0,3178.0,3392.0,3520.0,3776.0,3853.0,3328.0,5056.0,4160.0,3904.0
142.1342108,-36.74418,416.01,1.985,33.17,73.23,1840.0,2342.0,2572.0,3120.0,3392.0,3520.0,3776.0,3832.0,3328.0,5056.0,4160.0,3904.0
142.1341571,-36.74422832,416.01,2.17,33.2,73.43,1872.0,2323.0,2647.0,3149.0,3392.0,3392.0,3648.0,3819.0,3328.0,5056.0,4160.0,3776.0
142.1340889,-36.74424872,416.34,2.255,31.82,74.35,1872.0,2323.0,2647.0,3149.0,3392.0,3392.0,3648.0,3819.0,3328.0,5056.0,4160.0,3776.0
142.1340126,-36.7442569,416.34,2.365,31.82,73.85,1776.0,2215.0,2506.0,2916.0,2880.0,3008.0,3136.0,3595.0,3328.0,4160.0,3392.0,3264.0
