config,R2(ann),RMSE(ann)
vis_low_1_random,0.32,0.143
props_ex_som_low_1_random,0.618,0.107
vis_props_ex_som_low_1_random,0.588,0.111
bands_low_1_random,0.586,0.111
all_ex_som_low_1_random,0.667,0.1
vis_low_1_top,0.0,0.182
props_ex_som_low_1_top,0.0,0.142
vis_props_ex_som_low_1_top,0.078,0.13
bands_low_1_top,0.022,0.134
all_ex_som_low_1_top,0.214,0.12
vis_low_1_bottom,0.0,0.158
props_ex_som_low_1_bottom,0.266,0.126
vis_props_ex_som_low_1_bottom,0.022,0.146
bands_low_1_bottom,0.0,0.164
all_ex_som_low_1_bottom,0.248,0.128
vis_low_1_mid,0.119,0.17
props_ex_som_low_1_mid,0.588,0.116
vis_props_ex_som_low_1_mid,0.626,0.111
bands_low_1_mid,0.219,0.16
all_ex_som_low_1_mid,0.631,0.11
vis_low_1_left,0.0,0.2
props_ex_som_low_1_left,0.162,0.14
vis_props_ex_som_low_1_left,0.325,0.126
bands_low_1_left,0.21,0.136
all_ex_som_low_1_left,0.167,0.139
vis_low_1_right,0.0,0.284
props_ex_som_low_1_right,0.511,0.163
vis_props_ex_som_low_1_right,0.474,0.169
bands_low_1_right,0.127,0.217
all_ex_som_low_1_right,0.639,0.14
vis_low_1_block,0.357,0.197
props_ex_som_low_1_block,0.779,0.115
vis_props_ex_som_low_1_block,0.717,0.13
bands_low_1_block,0.562,0.162
all_ex_som_low_1_block,0.787,0.113
