,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4,I-0-5,I-0-6,I-0-7,I-0-8,I-0-9
I-ann-vis,0.07991436060222257,0.04147382198397853,0.07553529536546366,0.08346361398835678,0.09540774858323597,0.07355989287775677,0.0993851670934911,0.06903305064671794,0.10953026527310628,0.07780551393554125
I-ann-props,0.5326316636436694,0.5926435871327443,0.5872163222993791,0.41039658024278003,0.5312266624062196,0.43578373274861515,0.5407593794028809,0.5750524338725267,0.543969776804371,0.5091731927390397
I-ann-vis-props,0.33646303886238316,0.3627403231315015,0.5316263817949818,0.47768765566978544,0.06236037167927866,0.47778555742197737,0.4931805134103866,-0.11412304808410423,0.5311646781795711,0.5527178781632698
I-ann-bands,0.2922653559662334,0.1901938654078753,0.324951176696917,0.26180576763384866,0.2596114263681344,0.21849360017602315,0.16380387537024033,0.20934067648983357,0.31870881322450806,0.256226328757448
I-ann-all,0.5836990579594536,0.4160632316392553,0.5916897917148434,0.527778707916182,0.4464299464136645,0.37532616542112895,0.6186353307876225,0.484505411453257,0.5484661753721809,0.5672462461807596
