algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
mlr,0.066,0.111,0.182,0.187,B04+2_random
mlr,0.018,0.052,0.187,0.193,red+2_random
mlr,0.145,0.018,0.185,0.183,B04+5_random
mlr,0.534,0.611,0.136,0.117,B04+5_random
mlr,0.389,0.573,0.128,0.141,red+5_random
mlr,0.47,0.607,0.135,0.125,B04+8_random
mlr,0.448,0.434,0.138,0.15,B01+14_random
mlr,0.653,0.666,0.115,0.111,B01+17_random
rf,0.227,0.306,0.18,0.151,B04+2_random
rf,0.006,0.0,0.221,0.175,red+2_random
rf,0.183,0.342,0.168,0.163,B04+5_random
rf,0.71,0.63,0.107,0.113,B04+5_random
rf,0.649,0.704,0.118,0.1,red+5_random
rf,0.739,0.62,0.105,0.11,B04+8_random
rf,0.372,0.422,0.158,0.142,B01+14_random
rf,0.698,0.695,0.108,0.105,B01+17_random
svr,0.206,0.2,0.168,0.177,B04+2_random
svr,0.067,0.129,0.172,0.194,red+2_random
svr,0.244,0.363,0.171,0.152,B04+5_random
svr,0.663,0.668,0.107,0.116,B04+5_random
svr,0.714,0.67,0.096,0.118,red+5_random
svr,0.698,0.724,0.109,0.099,B04+8_random
svr,0.571,0.611,0.124,0.123,B01+14_random
svr,0.747,0.703,0.1,0.101,B01+17_random
ann,0.291,0.146,0.17,0.171,B04+2_random
ann,0.046,0.035,0.191,0.187,red+2_random
ann,0.327,0.191,0.153,0.176,B04+5_random
ann,0.611,0.61,0.121,0.12,B04+5_random
ann,0.66,0.607,0.112,0.122,red+5_random
ann,0.594,0.579,0.12,0.129,B04+8_random
ann,0.526,0.501,0.138,0.13,B01+14_random
ann,0.608,0.683,0.117,0.112,B01+17_random
