,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4,I-0-5,I-0-6,I-0-7,I-0-8,I-0-9
I-mlr-vis,0.013430797447326004,0.019181053938406745,0.01378859518050568,0.021579611050900893,0.01898094613715262,0.017313500007320237,0.017681159239200994,0.011874021943698465,0.016854258963584057,0.019146502387686892
I-mlr-props,0.3417714100625542,0.32835746135941657,0.33712689362623893,0.3515661551097917,0.3112931850052232,0.35400394748047515,0.29640336259198086,0.3380938914451117,0.3660907088008808,0.3272740717283067
I-mlr-vis-props,0.35148593286928576,0.3309439076255818,0.34462957681185524,0.3527704747875775,0.3151646266849075,0.35814000120135536,0.30135766685318943,0.34243903229900996,0.36681204774607046,0.3298589108485078
I-mlr-bands,0.05811007524675171,0.08257641290871032,0.08065652053997374,0.07488666617866235,0.07103385733850998,0.09392571744308997,0.060967880290976106,0.07185162419724012,0.06166648414889497,0.06459336050498576
I-mlr-all,0.3661959151068235,0.35377163462861616,0.3711297668368023,0.3760225650262995,0.3412171743863618,0.38115909757624333,0.335169408315675,0.3600948549557357,0.3737251492964698,0.35384913402146634
