,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4,I-0-5,I-0-6,I-0-7,I-0-8,I-0-9
I-ann-vis,0.0627458470905362,0.0968814598130899,0.098533594884333,0.0954103960174198,0.0642554970820725,0.0600754824583321,0.0742919228023466,0.0728022017462362,0.0865928940555113,0.0712929245095028
I-ann-props,0.5273578787640079,0.5888612759952028,0.5590098078669208,0.5977438411875486,0.6157267827821985,0.5607197402340037,0.5608507072919768,0.5660668743968933,0.5418831793366155,0.5674034294628245
I-ann-vis-props,0.5859246478509865,0.5873018735713305,0.570924485413419,0.6058586987121861,0.5863647839369204,0.520914642914476,0.5502366481988925,0.5447760350733606,0.5289267414191346,0.5154600285179823
I-ann-bands,0.18927685699716812,0.23626509431687037,0.2549843549577612,0.22754283590645008,0.22045812119333885,0.2352097752396186,0.0,0.0,0.0,0.0
I-ann-all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
