,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4,I-0-5,I-0-6,I-0-7,I-0-8,I-0-9
I-mlr-vis,-0.01013670876210826,0.049616131777649675,0.04501290881618436,0.03413994411253163,0.012481885459467823,0.009596140325254576,0.009350510476322627,0.019602036767745856,-0.037875504047810704,-0.0021542512291767846
I-mlr-props,0.38554962909701984,0.3758747838555653,0.4463576313951868,0.3688837535846641,0.29831089125222443,0.37314995928530537,0.35912465437529406,0.4558189760675454,0.2656853887404914,0.009745016738555767
I-mlr-vis-props,0.3813367536791792,0.3560606331713675,0.4442211619681704,0.37749860504219357,0.2976630127545191,0.3610444357662662,0.3698769481248081,0.4641567004951803,0.2720101120918409,0.015328201990201351
I-mlr-bands,0.00322389041833393,0.11471200498934764,0.025986318982796353,0.05570675026203664,0.02138651296531391,0.08558442444601577,0.09326470526343311,0.12114675602106706,-0.031832144655264294,0.050556019177677713
I-mlr-all,0.38600080691311034,0.3413934087961611,0.4739119104418775,0.38124988647795954,0.2975624903017966,0.36106539534118487,0.3984405544026035,0.4765143949916695,0.2787247237970737,0.07155760609375128
I-ann-vis,0.08886036719668833,0.14024442641776036,0.06457965856009384,0.06991942426660613,0.06309067329183438,0.11116491667960071,0.07799431298804893,0.08566363307352731,0.019861719019669377,0.04614866141048202
I-ann-props,0.4879686432296192,0.429654193628223,0.4877992720570431,0.4218820366307968,0.3587431616998985,0.41905302979555326,0.4004604971701322,0.5143796217287002,0.28965553664013444,0.26761023522843763
I-ann-vis-props,0.3550680291393504,0.32714503159992936,0.38644178986555766,0.3213449911961398,0.2585025652795203,0.32561936263918656,0.30958634960557285,0.41691821684360364,0.2133813298385655,0.17608710144465112
I-ann-bands,-0.0016194870111061466,0.09680289517904606,0.01659719740180665,0.04615907013700293,0.04165670389404119,0.09923561837859962,0.08240131612983914,0.1113474003172844,-0.02628360236810212,0.020455991025095543
I-ann-all,0.42769637738504296,0.3813379661631312,0.47996382852073904,0.3918809371948737,0.37156517082004026,0.4411520160188981,0.4398481550623722,0.5133206459727927,0.2620406594159651,0.33348609675463114
