,mlr,ann
vis,0.01296330936960608,0.07675277929043114
props,0.33385006843918524,0.40772062278085386
vis-props,0.3339196565083727,0.30900947674520773
bands,0.05397352378707578,0.048675310308350726
all,0.3466421177557188,0.4042291853308487
