algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.0,0.0,0.228,0.043,0.0,0.145,0.0,0.038,0.268,0.034,0.192,0.207,0.19,0.164,0.22,0.162,0.178,0.203,0.182,0.14,B04+2_random
mlr,0.014,0.0,0.0,0.048,0.023,0.0,0.079,0.0,0.032,0.0,0.15,0.228,0.147,0.238,0.216,0.138,0.214,0.17,0.199,0.177,red+2_random
mlr,0.6,0.0,0.56,0.515,0.682,0.459,0.663,0.455,0.584,0.447,0.107,0.112,0.121,0.145,0.128,0.148,0.122,0.135,0.122,0.155,elevation+2_random
mlr,0.102,0.18,0.0,0.0,0.0,0.258,0.035,0.0,0.161,0.087,0.219,0.162,0.19,0.181,0.172,0.213,0.192,0.21,0.135,0.147,B04+5_random
mlr,0.602,0.495,0.305,0.643,0.682,0.663,0.586,0.547,0.39,0.455,0.122,0.117,0.144,0.134,0.115,0.105,0.114,0.124,0.165,0.133,B04+5_random
mlr,0.702,0.629,0.278,0.329,0.51,0.532,0.565,0.195,0.587,0.509,0.142,0.129,0.141,0.121,0.133,0.146,0.113,0.145,0.113,0.117,red+5_random
mlr,0.314,0.544,0.624,0.561,0.601,0.47,0.576,0.565,0.624,0.571,0.119,0.126,0.129,0.115,0.133,0.134,0.118,0.127,0.131,0.139,B04+8_random
mlr,0.68,0.383,0.389,0.573,0.529,0.514,0.433,0.575,0.491,0.695,0.112,0.135,0.146,0.119,0.161,0.122,0.142,0.114,0.134,0.109,B01+14_random
mlr,0.309,0.632,0.689,0.511,0.66,0.217,0.62,0.659,0.738,0.842,0.142,0.126,0.111,0.119,0.1,0.105,0.128,0.12,0.1,0.088,B01+17_random
rf,0.334,0.092,0.001,0.125,0.257,0.304,0.087,0.0,0.107,0.0,0.142,0.161,0.222,0.204,0.148,0.165,0.157,0.134,0.206,0.172,B04+2_random
rf,0.084,0.065,0.281,0.124,0.418,0.0,0.0,0.33,0.119,0.0,0.16,0.176,0.175,0.194,0.133,0.203,0.188,0.197,0.201,0.192,red+2_random
rf,0.71,0.668,0.796,0.474,0.679,0.596,0.747,0.406,0.753,0.667,0.116,0.118,0.081,0.112,0.111,0.116,0.109,0.105,0.09,0.116,elevation+2_random
rf,0.281,0.262,0.0,0.144,0.265,0.734,0.516,0.157,0.158,0.303,0.167,0.142,0.178,0.209,0.14,0.117,0.161,0.149,0.181,0.172,B04+5_random
rf,0.695,0.692,0.756,0.721,0.419,0.692,0.686,0.699,0.609,0.623,0.109,0.104,0.121,0.104,0.097,0.101,0.115,0.103,0.107,0.104,B04+5_random
rf,0.676,0.697,0.511,0.748,0.591,0.846,0.596,0.804,0.856,0.723,0.125,0.099,0.12,0.087,0.13,0.062,0.125,0.094,0.083,0.094,red+5_random
rf,0.628,0.511,0.806,0.426,0.714,0.655,0.777,0.749,0.478,0.6,0.123,0.095,0.107,0.093,0.112,0.083,0.113,0.103,0.105,0.132,B04+8_random
rf,0.371,0.545,0.0,0.563,0.622,0.269,0.368,0.701,0.537,0.358,0.155,0.135,0.114,0.152,0.118,0.166,0.134,0.139,0.105,0.132,B01+14_random
rf,0.529,0.75,0.36,0.233,0.773,0.826,0.851,0.689,0.644,0.736,0.099,0.098,0.136,0.116,0.096,0.095,0.104,0.092,0.106,0.092,B01+17_random
svr,0.473,0.078,0.0,0.0,0.151,0.408,0.437,0.0,0.0,0.0,0.165,0.181,0.179,0.191,0.212,0.177,0.134,0.172,0.146,0.149,B04+2_random
svr,0.261,0.335,0.042,0.201,0.061,0.0,0.0,0.0,0.248,0.203,0.163,0.179,0.133,0.181,0.178,0.164,0.22,0.215,0.17,0.171,red+2_random
svr,0.707,0.791,0.467,0.73,0.742,0.709,0.867,0.772,0.388,0.695,0.096,0.102,0.105,0.109,0.093,0.094,0.079,0.114,0.105,0.085,elevation+2_random
svr,0.482,0.165,0.049,0.0,0.455,0.044,0.235,0.539,0.148,0.026,0.127,0.153,0.171,0.156,0.138,0.17,0.202,0.174,0.154,0.177,B04+5_random
svr,0.621,0.828,0.667,0.797,0.701,0.475,0.724,0.716,0.757,0.765,0.111,0.085,0.1,0.084,0.115,0.102,0.102,0.101,0.086,0.108,B04+5_random
svr,0.297,0.81,0.813,0.746,0.658,0.647,0.867,0.819,0.48,0.791,0.091,0.104,0.086,0.08,0.124,0.101,0.074,0.077,0.114,0.107,red+5_random
svr,0.696,0.823,0.733,0.648,0.799,0.679,0.538,0.746,0.582,0.727,0.113,0.098,0.107,0.115,0.077,0.086,0.119,0.101,0.115,0.077,B04+8_random
svr,0.684,0.586,0.284,0.562,0.471,0.489,0.697,0.764,0.464,0.66,0.104,0.119,0.159,0.112,0.137,0.141,0.118,0.114,0.098,0.113,B01+14_random
svr,0.703,0.77,0.799,0.77,0.574,0.807,0.752,0.839,0.582,0.716,0.107,0.073,0.056,0.105,0.094,0.09,0.115,0.087,0.113,0.108,B01+17_random
ann,0.228,0.058,0.106,0.213,0.256,0.132,0.0,0.0,0.197,0.385,0.16,0.202,0.143,0.196,0.179,0.159,0.151,0.173,0.173,0.175,B04+2_random
ann,0.3,0.1,0.12,0.0,0.001,0.0,0.014,0.342,0.119,0.18,0.141,0.179,0.153,0.16,0.161,0.236,0.186,0.161,0.206,0.202,red+2_random
