,mlr,ann
elevation,0.2719953358003916,0.2719922943245897
moisture,0.0037719040386214654,0.003737452020404186
temp,0.01200897831481924,0.011982295927968489
B01,0.01955899647826458,0.019539708467841855
B02,0.01672643116627113,0.016661312432920995
B03,0.019271940005324152,0.01919952827706588
B04,0.019515492501074448,0.019445856586905074
B05,0.024511374636139262,0.0244805431774473
B06,0.030331911136577426,0.030286513837489613
B07,0.029100043787162556,0.02906257866180808
B08,0.030023713773326667,0.03064424151420695
B09,0.002541027913385463,0.0024669784498926985
B11,0.0022435678533016647,0.002129581268098124
B12,0.0012820707219306283,0.0007389304695885945
B8A,0.02785875621221672,0.027815691561554813
