algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
mlr,0.023,0.021,0.181,0.177,B04+2_low_0_random
mlr,0.023,0.021,0.179,0.179,B04+3_low_0_random
mlr,0.024,0.021,0.18,0.178,B08_low_0_random
mlr,0.366,0.389,0.143,0.142,elevation+2_low_0_random
mlr,0.395,0.379,0.141,0.142,elevation+5_low_0_random
mlr,0.391,0.381,0.141,0.142,elevation+6_low_0_random
mlr,0.378,0.396,0.142,0.141,elevation+3_low_0_random
rf,0.12,0.109,0.168,0.172,B04+2_low_0_random
rf,0.124,0.111,0.17,0.17,B04+3_low_0_random
rf,0.112,0.121,0.17,0.17,B08_low_0_random
rf,0.567,0.56,0.12,0.119,elevation+2_low_0_random
rf,0.566,0.569,0.119,0.119,elevation+5_low_0_random
rf,0.578,0.564,0.119,0.118,elevation+6_low_0_random
rf,0.573,0.562,0.119,0.119,elevation+3_low_0_random
svr,0.111,0.118,0.169,0.172,B04+2_low_0_random
svr,0.103,0.124,0.169,0.171,B04+3_low_0_random
svr,0.086,0.135,0.173,0.169,B08_low_0_random
svr,0.602,0.597,0.115,0.115,elevation+2_low_0_random
svr,0.626,0.633,0.112,0.109,elevation+5_low_0_random
svr,0.639,0.618,0.11,0.111,elevation+6_low_0_random
svr,0.633,0.635,0.109,0.109,elevation+3_low_0_random
ann,0.105,0.118,0.17,0.171,B04+2_low_0_random
ann,0.109,0.118,0.169,0.172,B04+3_low_0_random
ann,0.022,0.023,0.18,0.178,B08_low_0_random
ann,0.459,0.449,0.133,0.135,elevation+2_low_0_random
ann,0.521,0.514,0.126,0.126,elevation+5_low_0_random
ann,0.515,0.566,0.125,0.12,elevation+6_low_0_random
ann,0.48,0.485,0.13,0.13,elevation+3_low_0_random
