algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann,0.32,0.239,0.271,0.276,0.246,0.247,0.298,0.203,0.228,0.3,0.145,0.148,0.158,0.155,0.147,0.146,0.15,0.152,0.16,0.144,vis_low_1_random
ann,0.668,0.647,0.618,0.662,0.599,0.57,0.513,0.605,0.704,0.601,0.101,0.109,0.109,0.109,0.11,0.112,0.119,0.108,0.099,0.104,props_ex_som_low_1_random
ann,0.677,0.642,0.559,0.57,0.544,0.599,0.617,0.63,0.638,0.585,0.107,0.111,0.117,0.106,0.12,0.111,0.103,0.105,0.106,0.112,vis_props_ex_som_low_1_random
ann,0.575,0.516,0.554,0.623,0.596,0.637,0.518,0.565,0.56,0.54,0.118,0.117,0.117,0.113,0.115,0.105,0.123,0.112,0.116,0.115,bands_low_1_random
ann,0.701,0.672,0.679,0.74,0.68,0.62,0.657,0.677,0.662,0.661,0.098,0.102,0.099,0.096,0.096,0.103,0.106,0.098,0.099,0.099,all_ex_som_low_1_random
