config,R2(ann),RMSE(ann),input,output
vis_low_1_random,0.263,0.151,B02-B03-B04,som
props_ex_som_low_1_random,0.619,0.108,elevation-moisture-temp,som
vis_props_ex_som_low_1_random,0.606,0.11,elevation-moisture-temp-B02-B03-B04,som
bands_low_1_random,0.568,0.115,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
all_ex_som_low_1_random,0.675,0.1,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
