config,R2(mlr),R2(rf),R2(svr),R2(ann),RMSE(mlr),RMSE(rf),RMSE(svr),RMSE(ann),input,output
B04+2_low_0_random,0.021,0.117,0.113,0.11,0.179,0.17,0.17,0.171,B04-B03-B02,som
B04+3_low_0_random,0.022,0.118,0.116,0.114,0.179,0.17,0.17,0.17,B04-B03-B02-B08,som
B08_low_0_random,0.022,0.118,0.113,0.115,0.179,0.17,0.17,0.17,B08,som
elevation+2_low_0_random,0.378,0.558,0.598,0.551,0.143,0.12,0.115,0.121,elevation-moisture-temp,som
elevation+5_low_0_random,0.385,0.568,0.631,0.51,0.142,0.119,0.11,0.127,elevation-moisture-temp-B04-B03-B02,som
elevation+6_low_0_random,0.386,0.568,0.63,0.559,0.142,0.119,0.11,0.12,elevation-moisture-temp-B04-B03-B02-B08,som
elevation+3_low_0_random,0.386,0.569,0.634,0.484,0.142,0.119,0.11,0.13,elevation-moisture-temp-B08,som
