config,R2(ann),RMSE(ann)
vis_low_1_random,0.319,0.143
props_ex_som_low_1_random,0.619,0.107
vis_props_ex_som_low_1_random,0.61,0.108
bands_low_1_random,0.552,0.116
all_ex_som_low_1_random,0.676,0.099
vis_low_1_top,0.0,0.187
props_ex_som_low_1_top,0.0,0.14
vis_props_ex_som_low_1_top,0.101,0.128
bands_low_1_top,0.0,0.159
all_ex_som_low_1_top,0.221,0.119
vis_low_1_bottom,0.0,0.159
props_ex_som_low_1_bottom,0.182,0.134
vis_props_ex_som_low_1_bottom,0.069,0.142
bands_low_1_bottom,0.0,0.173
all_ex_som_low_1_bottom,0.222,0.13
vis_low_1_mid,0.134,0.168
props_ex_som_low_1_mid,0.557,0.12
vis_props_ex_som_low_1_mid,0.656,0.106
bands_low_1_mid,0.257,0.156
all_ex_som_low_1_mid,0.65,0.107
vis_low_1_left,0.0,0.2
props_ex_som_low_1_left,0.025,0.151
vis_props_ex_som_low_1_left,0.275,0.13
bands_low_1_left,0.09,0.146
all_ex_som_low_1_left,0.155,0.14
vis_low_1_right,0.0,0.277
props_ex_som_low_1_right,0.096,0.221
vis_props_ex_som_low_1_right,0.192,0.209
bands_low_1_right,0.111,0.219
all_ex_som_low_1_right,0.626,0.142
vis_low_1_block,0.362,0.196
props_ex_som_low_1_block,0.777,0.116
vis_props_ex_som_low_1_block,0.749,0.123
bands_low_1_block,0.605,0.154
all_ex_som_low_1_block,0.791,0.112
