,mlr,ann
vis,0.01296330936960608,0.07675277929043114
props,0.33385006843918524,0.40772062278085386
vis-props,0.3339196565083727,0.30900947674520773
bands,0.054551237336522215,0.05673906229747566
all,0.34874437911130896,0.2455516040907451
