,mlr,ann
vis,0.019982657968938757,0.09517329661430274
props,0.37522085489403356,0.5644272850684053
vis-props,0.37689187162936355,0.5376622024371852
bands,0.06943050668971919,0.2736145846155552
all,0.39144434397641015,0.6180114246688596
