config,R2(ann),RMSE(ann),input,output
vis_low_1_random,0.268,0.15,B02-B03-B04,som
props_ex_som_low_1_random,0.62,0.108,elevation-moisture-temp,som
vis_props_ex_som_low_1_random,0.606,0.11,elevation-moisture-temp-B02-B03-B04,som
bands_low_1_random,0.56,0.116,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
all_ex_som_low_1_random,0.665,0.102,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
