,mlr,ann
vis,0.02574176605113665,0.034982679841932963
props,0.5936415650019112,0.7790407308187722
vis-props,0.5930290770015116,0.7058460911699637
bands,0.074568510769578,0.08270637147115933
upper-vis,0.0469460636271718,0.07700146938605375
upper-vis-props,0.5924768383979524,0.7108618237041071
all,0.5911197072688887,0.7375336925956265
