,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.040433622621722676,0.032304144757116404,0.004487530774570869
I-mlr-props,0.5631803108356386,0.5926276325383029,0.6251167516317921
I-mlr-vis-props,0.5619387121428543,0.5933895440074801,0.6237589748542005
I-mlr-bands,0.08548742681671007,0.0779759537213619,0.060242151770662056
I-mlr-upper-vis,0.034677043513165806,0.04881307030449211,0.05734807706385747
I-mlr-upper-vis-props,0.563318641086231,0.5912174783441283,0.6228943957634981
I-mlr-all,0.5620185555423505,0.5924741838795187,0.6188663823847971
I-ann-vis,0.036637914925737536,0.04206246017194726,0.026247664428114104
I-ann-props,0.764432407439665,0.775997638504057,0.7966921465125947
I-ann-vis-props,0.7164902043992207,0.7282459154422404,0.67280215366843
I-ann-bands,0.06895735801228986,0.08650136844847167,0.09266038795271647
I-ann-upper-vis,0.0555295799329919,0.0838896778487408,0.09158515037642856
I-ann-upper-vis-props,0.6796565758850899,0.7197645233596732,0.7331643718675582
I-ann-all,0.7367806449466527,0.7446875395649517,0.7311328932752748
