,mlr,ann
vis,0.017731557321297164,0.10029455243912407
props,0.3777126920293055,0.596729757149926
vis-props,0.37961136965527115,0.6053611273695139
bands,0.0552431361247383,0.27419184948127767
upper-vis,0.05296568928619283,0.21535629582494434
upper-vis-props,0.39168097582965117,0.58171875709621
all,0.393501228322231,0.6098921412117688
