algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann,0.293,0.285,0.246,0.234,0.224,0.266,0.277,0.172,0.262,0.334,0.151,0.153,0.156,0.146,0.15,0.149,0.151,0.153,0.151,0.147,vis_low_1_random
ann,0.561,0.674,0.561,0.624,0.55,0.538,0.544,0.636,0.519,0.635,0.115,0.108,0.112,0.107,0.12,0.117,0.112,0.111,0.114,0.11,props_ex_som_low_1_random
ann,0.567,0.443,0.531,0.549,0.588,0.604,0.536,0.525,0.522,0.55,0.118,0.124,0.119,0.116,0.116,0.117,0.116,0.127,0.115,0.116,vis_props_ex_som_low_1_random
ann,0.433,0.444,0.349,0.348,0.415,0.37,0.447,0.444,0.428,0.389,0.123,0.126,0.14,0.133,0.138,0.148,0.132,0.138,0.137,0.136,bands_low_1_random
ann,0.497,0.533,0.528,0.547,0.505,0.512,0.511,0.52,0.466,0.465,0.122,0.121,0.127,0.116,0.116,0.126,0.121,0.123,0.133,0.125,all_ex_som_low_1_random
