,mlr,ann
vis,0.02574176605113665,0.037356774931844895
props,0.5936415650019112,0.767030374908115
vis-props,0.5930290770015116,0.7473782778252597
bands,0.07456851768329338,0.11225438450733476
upper-vis,0.0469460636271718,0.07629812292785569
upper-vis-props,0.5924768383979524,0.7116631407493955
all,0.5911197072688887,0.7475805968898127
