,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.040433622621722676,0.032304144757116404,0.004487530774570869
I-mlr-props,0.5631803108356386,0.5926276325383029,0.6251167516317921
I-mlr-vis-props,0.5619387121428543,0.5933895440074801,0.6237589748542005
I-mlr-bands,0.08548744863205171,0.07797594254928586,0.06024216186854259
I-mlr-upper-vis,0.034677043513165806,0.04881307030449211,0.05734807706385747
I-mlr-upper-vis-props,0.563318641086231,0.5912174783441283,0.6228943957634981
I-mlr-all,0.5620185555423505,0.5924741838795187,0.6188663823847971
I-ann-vis,0.03977043727328411,0.05301244485338652,0.019287442668864063
I-ann-props,0.7604855804686058,0.7678264823191323,0.7727790619366067
I-ann-vis-props,0.7405458902024921,0.7369859098625979,0.7646030334106892
I-ann-bands,0.08710573460884985,0.15789333658030702,0.09176408233284739
I-ann-upper-vis,0.06811121350009441,0.09080112846098143,0.06998202682249122
I-ann-upper-vis-props,0.6810542257205539,0.7214062161809836,0.732528980346649
I-ann-all,0.7262435625302106,0.7449366335971424,0.7715615945420848
